city,year,weekofyear,total_cases
sj,2011,22,5
sj,2011,23,5
sj,2011,24,5
sj,2011,25,5
sj,2011,26,6
sj,2011,27,6
sj,2011,28,6
sj,2011,29,5
sj,2011,30,5
sj,2011,31,5
sj,2011,32,5
sj,2011,33,5
sj,2011,34,6
sj,2011,35,5
sj,2011,36,5
sj,2011,37,7
sj,2011,38,6
sj,2011,39,5
sj,2011,40,7
sj,2011,41,10
sj,2011,42,12
sj,2011,43,12
sj,2011,44,10
sj,2011,45,11
sj,2011,46,11
sj,2011,47,11
sj,2011,48,11
sj,2011,49,11
sj,2011,50,10
sj,2011,51,10
sj,2012,52,11
sj,2012,1,14
sj,2012,2,11
sj,2012,3,9
sj,2012,4,9
sj,2012,5,10
sj,2012,6,9
sj,2012,7,7
sj,2012,8,8
sj,2012,9,5
sj,2012,10,9
sj,2012,11,5
sj,2012,12,6
sj,2012,13,8
sj,2012,14,5
sj,2012,15,9
sj,2012,16,8
sj,2012,17,8
sj,2012,18,8
sj,2012,19,6
sj,2012,20,6
sj,2012,21,5
sj,2012,22,5
sj,2012,23,5
sj,2012,24,6
sj,2012,25,6
sj,2012,26,6
sj,2012,27,8
sj,2012,28,6
sj,2012,29,5
sj,2012,30,5
sj,2012,31,6
sj,2012,32,5
sj,2012,33,6
sj,2012,34,5
sj,2012,35,6
sj,2012,36,5
sj,2012,37,6
sj,2012,38,7
sj,2012,39,8
sj,2012,40,9
sj,2012,41,10
sj,2012,42,9
sj,2012,43,11
sj,2012,44,11
sj,2012,45,10
sj,2012,46,11
sj,2012,47,15
sj,2012,48,11
sj,2012,49,11
sj,2012,50,11
sj,2012,51,11
sj,2013,1,10
sj,2013,2,13
sj,2013,3,15
sj,2013,4,9
sj,2013,5,10
sj,2013,6,9
sj,2013,7,9
sj,2013,8,9
sj,2013,9,8
sj,2013,10,8
sj,2013,11,8
sj,2013,12,8
sj,2013,13,9
sj,2013,14,8
sj,2013,15,8
sj,2013,16,8
sj,2013,17,7
iq,2010,26,7
iq,2010,27,5
iq,2010,28,7
iq,2010,29,5
iq,2010,30,4
iq,2010,31,8
iq,2010,32,5
iq,2010,33,6
iq,2010,34,6
iq,2010,35,8
iq,2010,36,6
iq,2010,37,7
iq,2010,38,8
iq,2010,39,7
iq,2010,40,9
iq,2010,41,9
iq,2010,42,10
iq,2010,43,11
iq,2010,44,23
iq,2010,45,15
iq,2010,46,11
iq,2010,47,11
iq,2010,48,49
iq,2010,49,12
iq,2010,50,13
iq,2010,51,10
iq,2011,52,9
iq,2011,1,12
iq,2011,2,10
iq,2011,3,10
iq,2011,4,9
iq,2011,5,9
iq,2011,6,10
iq,2011,7,9
iq,2011,8,8
iq,2011,9,9
iq,2011,10,8
iq,2011,11,7
iq,2011,12,8
iq,2011,13,8
iq,2011,14,9
iq,2011,15,8
iq,2011,16,8
iq,2011,17,8
iq,2011,18,8
iq,2011,19,9
iq,2011,20,5
iq,2011,21,6
iq,2011,22,5
iq,2011,23,5
iq,2011,24,5
iq,2011,25,5
iq,2011,26,6
iq,2011,27,6
iq,2011,28,6
iq,2011,29,5
iq,2011,30,5
iq,2011,31,5
iq,2011,32,5
iq,2011,33,5
iq,2011,34,6
iq,2011,35,5
iq,2011,36,5
iq,2011,37,7
iq,2011,38,6
iq,2011,39,5
iq,2011,40,7
iq,2011,41,10
iq,2011,42,12
iq,2011,43,12
iq,2011,44,9
iq,2011,45,11
iq,2011,46,11
iq,2011,47,11
iq,2011,48,11
iq,2011,49,11
iq,2011,50,10
iq,2011,51,10
iq,2012,52,11
iq,2012,1,14
iq,2012,2,10
iq,2012,3,9
iq,2012,4,9
iq,2012,5,10
iq,2012,6,9
iq,2012,7,7
iq,2012,8,8
iq,2012,9,5
iq,2012,10,8
iq,2012,11,5
iq,2012,12,6
iq,2012,13,8
iq,2012,14,5
iq,2012,15,9
iq,2012,16,8
iq,2012,17,8
iq,2012,18,8
iq,2012,19,5
iq,2012,20,6
iq,2012,21,5
iq,2012,22,5
iq,2012,23,5
iq,2012,24,6
iq,2012,25,7
iq,2012,26,5
iq,2012,27,8
iq,2012,28,6
iq,2012,29,5
iq,2012,30,5
iq,2012,31,5
iq,2012,32,5
iq,2012,33,6
iq,2012,34,5
iq,2012,35,6
iq,2012,36,5
iq,2012,37,6
iq,2012,38,7
iq,2012,39,8
iq,2012,40,9
iq,2012,41,10
iq,2012,42,9
iq,2012,43,11
iq,2012,44,11
iq,2012,45,10
iq,2012,46,11
iq,2012,47,15
iq,2012,48,11
iq,2012,49,11
iq,2012,50,11
iq,2012,51,11
iq,2013,1,10
iq,2013,2,14
iq,2013,3,12
iq,2013,4,9
iq,2013,5,10
iq,2013,6,9
iq,2013,7,9
iq,2013,8,9
iq,2013,9,8
iq,2013,10,8
iq,2013,11,8
iq,2013,12,8
iq,2013,13,9
iq,2013,14,8
iq,2013,15,8
iq,2013,16,8
iq,2013,17,7
iq,2013,18,5
iq,2013,19,9
iq,2013,20,8
iq,2013,21,6
iq,2013,22,6
iq,2013,23,6
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
