city,year,weekofyear,total_cases
sj,2012,23,12
sj,2012,24,29
sj,2012,25,47
sj,2012,26,43
sj,2012,27,31
sj,2012,28,18
sj,2012,29,26
sj,2012,30,19
sj,2012,31,33
sj,2012,32,17
sj,2012,33,53
sj,2012,34,49
sj,2012,35,21
sj,2012,36,33
sj,2012,37,53
sj,2012,38,47
sj,2012,39,55
sj,2012,40,53
sj,2012,41,36
sj,2012,42,31
sj,2012,43,30
sj,2012,44,47
sj,2012,45,22
sj,2012,46,21
sj,2012,47,16
sj,2012,48,16
sj,2012,49,14
sj,2012,50,13
sj,2012,51,13
sj,2013,1,11
sj,2013,2,11
sj,2013,3,11
sj,2013,4,11
sj,2013,5,11
sj,2013,6,11
sj,2013,7,11
sj,2013,8,11
sj,2013,9,11
sj,2013,10,11
sj,2013,11,11
sj,2013,12,11
sj,2013,13,11
sj,2013,14,12
sj,2013,15,11
sj,2013,16,11
sj,2013,17,11
iq,2010,26,7
iq,2010,27,5
iq,2010,28,7
iq,2010,29,11
iq,2010,30,5
iq,2010,31,8
iq,2010,32,10
iq,2010,33,12
iq,2010,34,7
iq,2010,35,13
iq,2010,36,8
iq,2010,37,13
iq,2010,38,9
iq,2010,39,7
iq,2010,40,10
iq,2010,41,7
iq,2010,42,9
iq,2010,43,8
iq,2010,44,9
iq,2010,45,11
iq,2010,46,8
iq,2010,47,8
iq,2010,48,9
iq,2010,49,7
iq,2010,50,9
iq,2010,51,8
iq,2011,52,8
iq,2011,1,12
iq,2011,2,7
iq,2011,3,8
iq,2011,4,7
iq,2011,5,7
iq,2011,6,7
iq,2011,7,7
iq,2011,8,7
iq,2011,9,8
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,7
iq,2011,14,7
iq,2011,15,8
iq,2011,16,8
iq,2011,17,7
iq,2011,18,8
iq,2011,19,6
iq,2011,20,8
iq,2011,21,7
iq,2011,22,5
iq,2011,23,5
iq,2011,24,6
iq,2011,25,6
iq,2011,26,6
iq,2011,27,6
iq,2011,28,5
iq,2011,29,6
iq,2011,30,6
iq,2011,31,5
iq,2011,32,7
iq,2011,33,7
iq,2011,34,7
iq,2011,35,6
iq,2011,36,7
iq,2011,37,7
iq,2011,38,7
iq,2011,39,7
iq,2011,40,10
iq,2011,41,7
iq,2011,42,8
iq,2011,43,10
iq,2011,44,9
iq,2011,45,8
iq,2011,46,7
iq,2011,47,8
iq,2011,48,8
iq,2011,49,7
iq,2011,50,8
iq,2011,51,8
iq,2012,52,8
iq,2012,1,8
iq,2012,2,7
iq,2012,3,7
iq,2012,4,7
iq,2012,5,7
iq,2012,6,7
iq,2012,7,7
iq,2012,8,8
iq,2012,9,8
iq,2012,10,7
iq,2012,11,7
iq,2012,12,7
iq,2012,13,7
iq,2012,14,8
iq,2012,15,7
iq,2012,16,7
iq,2012,17,9
iq,2012,18,7
iq,2012,19,6
iq,2012,20,8
iq,2012,21,5
iq,2012,22,5
iq,2012,23,5
iq,2012,24,18
iq,2012,25,17
iq,2012,26,24
iq,2012,27,24
iq,2012,28,28
iq,2012,29,6
iq,2012,30,18
iq,2012,31,6
iq,2012,32,13
iq,2012,33,11
iq,2012,34,10
iq,2012,35,13
iq,2012,36,7
iq,2012,37,8
iq,2012,38,25
iq,2012,39,30
iq,2012,40,23
iq,2012,41,8
iq,2012,42,8
iq,2012,43,8
iq,2012,44,9
iq,2012,45,13
iq,2012,46,8
iq,2012,47,8
iq,2012,48,11
iq,2012,49,8
iq,2012,50,7
iq,2012,51,7
iq,2013,1,9
iq,2013,2,7
iq,2013,3,7
iq,2013,4,7
iq,2013,5,7
iq,2013,6,7
iq,2013,7,7
iq,2013,8,7
iq,2013,9,10
iq,2013,10,10
iq,2013,11,7
iq,2013,12,12
iq,2013,13,8
iq,2013,14,9
iq,2013,15,6
iq,2013,16,7
iq,2013,17,8
iq,2013,18,8
iq,2013,19,7
iq,2013,20,8
iq,2013,21,7
iq,2013,22,7
iq,2013,23,8
iq,2013,24,6
iq,2013,25,9
iq,2013,26,5
