,city,year,weekofyear,total_cases
177,sj,2011,8,3
178,iq,2011,8,-6
179,sj,2011,9,8
180,iq,2011,9,-1
181,sj,2011,10,9
182,iq,2011,10,0
183,sj,2011,11,12
184,iq,2011,11,2
185,sj,2011,12,6
186,iq,2011,12,-3
187,sj,2011,13,8
188,iq,2011,13,-1
189,sj,2011,14,13
190,iq,2011,14,3
191,sj,2011,15,7
192,iq,2011,15,-2
193,sj,2011,16,10
194,iq,2011,16,0
195,sj,2011,17,-4
196,iq,2011,17,-15
197,sj,2011,18,10
198,iq,2011,18,0
199,sj,2011,19,7
200,iq,2011,19,-2
201,sj,2011,20,3
202,iq,2011,20,-6
203,sj,2011,21,12
204,iq,2011,21,2
205,sj,2011,22,7
206,iq,2011,22,-2
207,sj,2011,23,6
208,iq,2011,23,-3
209,sj,2011,24,10
210,iq,2011,24,0
211,sj,2011,25,0
212,iq,2011,25,-9
213,sj,2011,26,15
214,iq,2011,26,5
215,sj,2011,27,4
216,iq,2011,27,-5
217,sj,2011,28,19
218,iq,2011,28,9
219,sj,2011,29,13
220,iq,2011,29,3
221,sj,2011,30,8
222,iq,2011,30,-1
223,sj,2011,31,34
224,iq,2011,31,24
225,sj,2011,32,12
226,iq,2011,32,2
227,sj,2011,33,17
228,iq,2011,33,7
229,sj,2011,34,21
230,iq,2011,34,11
231,sj,2011,35,21
232,iq,2011,35,11
233,sj,2011,36,24
234,iq,2011,36,14
235,sj,2011,37,25
236,iq,2011,37,15
237,sj,2011,38,35
238,iq,2011,38,25
239,sj,2011,39,25
240,iq,2011,39,15
241,sj,2011,40,-27
242,iq,2011,40,-37
243,sj,2011,41,15
244,iq,2011,41,5
245,sj,2011,42,28
246,iq,2011,42,18
247,sj,2011,43,-6
248,iq,2011,43,-16
249,sj,2011,44,24
250,iq,2011,44,14
251,sj,2011,45,24
252,iq,2011,45,14
253,sj,2011,46,31
254,iq,2011,46,20
255,sj,2011,47,31
256,iq,2011,47,21
257,sj,2011,48,27
258,iq,2011,48,17
259,sj,2011,49,25
260,iq,2011,49,14
261,sj,2011,50,27
262,iq,2011,50,17
263,sj,2011,51,24
264,iq,2011,51,14
265,sj,2012,52,18
266,iq,2012,52,8
267,sj,2012,1,10
268,iq,2012,1,0
269,sj,2012,2,2
270,iq,2012,2,-7
271,sj,2012,3,0
272,iq,2012,3,-10
273,sj,2012,4,6
274,iq,2012,4,-3
275,sj,2012,5,4
276,iq,2012,5,-5
277,sj,2012,6,3
278,iq,2012,6,-6
279,sj,2012,7,3
280,iq,2012,7,-6
281,sj,2012,8,2
282,iq,2012,8,-7
283,sj,2012,9,5
284,iq,2012,9,-4
285,sj,2012,10,8
286,iq,2012,10,-1
287,sj,2012,11,0
288,iq,2012,11,-10
289,sj,2012,12,8
290,iq,2012,12,-1
291,sj,2012,13,10
292,iq,2012,13,0
293,sj,2012,14,0
294,iq,2012,14,-9
295,sj,2012,15,2
296,iq,2012,15,-7
297,sj,2012,16,14
298,iq,2012,16,4
299,sj,2012,17,-3
300,iq,2012,17,-13
301,sj,2012,18,9
302,iq,2012,18,0
303,sj,2012,19,11
304,iq,2012,19,1
305,sj,2012,20,39
306,iq,2012,20,29
307,sj,2012,21,0
308,iq,2012,21,-10
309,sj,2012,22,11
310,iq,2012,22,1
311,sj,2012,23,11
312,iq,2012,23,0
313,sj,2012,24,22
314,iq,2012,24,11
315,sj,2012,25,5
316,iq,2012,25,-4
317,sj,2012,26,2
318,iq,2012,26,-8
319,sj,2012,27,1
320,iq,2012,27,-8
321,sj,2012,28,14
322,iq,2012,28,3
323,sj,2012,29,1
324,iq,2012,29,-8
325,sj,2012,30,32
326,iq,2012,30,22
327,sj,2012,31,4
328,iq,2012,31,-5
329,sj,2012,32,10
330,iq,2012,32,0
331,sj,2012,33,7
332,iq,2012,33,-2
333,sj,2012,34,-8
334,iq,2012,34,-18
335,sj,2012,35,31
336,iq,2012,35,21
337,sj,2012,36,19
338,iq,2012,36,9
339,sj,2012,37,7
340,iq,2012,37,-2
341,sj,2012,38,4
342,iq,2012,38,-5
343,sj,2012,39,21
344,iq,2012,39,11
345,sj,2012,40,31
346,iq,2012,40,20
347,sj,2012,41,22
348,iq,2012,41,12
349,sj,2012,42,26
350,iq,2012,42,16
351,sj,2012,43,31
352,iq,2012,43,21
353,sj,2012,44,23
354,iq,2012,44,13
355,sj,2012,45,21
356,iq,2012,45,10
357,sj,2012,46,34
358,iq,2012,46,24
359,sj,2012,47,32
360,iq,2012,47,22
361,sj,2012,48,-18
362,iq,2012,48,-28
363,sj,2012,49,26
364,iq,2012,49,16
365,sj,2012,50,33
366,iq,2012,50,23
367,sj,2012,51,32
368,iq,2012,51,22
369,sj,2013,1,9
370,iq,2013,1,0
371,sj,2013,2,8
372,iq,2013,2,-1
373,sj,2013,3,11
374,iq,2013,3,1
375,sj,2013,4,0
376,iq,2013,4,-10
377,sj,2013,5,36
378,iq,2013,5,26
379,sj,2013,6,3
380,iq,2013,6,-6
381,sj,2013,7,0
382,iq,2013,7,-9
383,sj,2013,8,9
384,iq,2013,8,0
385,sj,2013,9,4
386,iq,2013,9,-5
387,sj,2013,10,5
388,iq,2013,10,-5
389,sj,2013,11,5
390,iq,2013,11,-4
391,sj,2013,12,13
392,iq,2013,12,3
393,sj,2013,13,10
394,iq,2013,13,0
395,sj,2013,14,3
396,iq,2013,14,-6
397,sj,2013,15,10
398,iq,2013,15,0
399,sj,2013,16,20
400,iq,2013,16,10
401,sj,2013,17,17
402,iq,2013,17,7
403,iq,2013,18,13
404,iq,2013,19,5
405,iq,2013,20,2
406,iq,2013,21,1
407,iq,2013,22,1
408,iq,2013,23,2
409,iq,2013,24,2
410,iq,2013,25,-22
411,iq,2013,26,-4
