city,year,weekofyear,total_cases
iq,2010,30,8
iq,2010,31,6
iq,2010,32,7
iq,2010,33,8
iq,2010,34,14
iq,2010,35,8
iq,2010,36,8
iq,2010,37,17
iq,2010,38,34
iq,2010,39,17
iq,2010,40,29
iq,2010,41,30
iq,2010,42,29
iq,2010,43,34
iq,2010,44,25
iq,2010,45,23
iq,2010,46,17
iq,2010,47,27
iq,2010,48,29
iq,2010,49,15
iq,2010,50,9
iq,2010,51,34
iq,2011,52,14
iq,2011,1,34
iq,2011,2,34
iq,2011,3,15
iq,2011,4,19
iq,2011,5,15
iq,2011,6,14
iq,2011,7,14
iq,2011,8,15
iq,2011,9,6
iq,2011,10,8
iq,2011,11,6
iq,2011,12,8
iq,2011,13,6
iq,2011,14,7
iq,2011,15,7
iq,2011,16,6
iq,2011,17,6
iq,2011,18,6
iq,2011,19,8
iq,2011,20,7
iq,2011,21,8
iq,2011,22,7
iq,2011,23,7
iq,2011,24,8
iq,2011,25,7
iq,2011,26,7
iq,2011,27,9
iq,2011,28,7
iq,2011,29,7
iq,2011,30,7
iq,2011,31,7
iq,2011,32,7
iq,2011,33,7
iq,2011,34,7
iq,2011,35,8
iq,2011,36,9
iq,2011,37,12
iq,2011,38,11
iq,2011,39,18
iq,2011,40,16
iq,2011,41,15
iq,2011,42,12
iq,2011,43,12
iq,2011,44,10
iq,2011,45,18
iq,2011,46,11
iq,2011,47,13
iq,2011,48,12
iq,2011,49,13
iq,2011,50,10
iq,2011,51,12
iq,2012,52,11
iq,2012,1,13
iq,2012,2,15
iq,2012,3,15
iq,2012,4,15
iq,2012,5,15
iq,2012,6,15
iq,2012,7,13
iq,2012,8,13
iq,2012,9,8
iq,2012,10,6
iq,2012,11,8
iq,2012,12,7
iq,2012,13,8
iq,2012,14,7
iq,2012,15,7
iq,2012,16,6
iq,2012,17,8
iq,2012,18,8
iq,2012,19,8
iq,2012,20,7
iq,2012,21,8
iq,2012,22,7
iq,2012,23,6
iq,2012,24,7
iq,2012,25,8
iq,2012,26,7
iq,2012,27,7
iq,2012,28,7
iq,2012,29,9
iq,2012,30,7
iq,2012,31,7
iq,2012,32,7
iq,2012,33,7
iq,2012,34,10
iq,2012,35,14
iq,2012,36,17
iq,2012,37,9
iq,2012,38,9
iq,2012,39,15
iq,2012,40,25
iq,2012,41,21
iq,2012,42,19
iq,2012,43,29
iq,2012,44,13
iq,2012,45,19
iq,2012,46,12
iq,2012,47,23
iq,2012,48,12
iq,2012,49,16
iq,2012,50,11
iq,2012,51,9
iq,2013,1,14
iq,2013,2,13
iq,2013,3,13
iq,2013,4,14
iq,2013,5,13
iq,2013,6,13
iq,2013,7,13
iq,2013,8,13
iq,2013,9,8
iq,2013,10,8
iq,2013,11,8
iq,2013,12,6
iq,2013,13,6
iq,2013,14,7
iq,2013,15,9
iq,2013,16,8
iq,2013,17,9
iq,2013,18,8
iq,2013,19,10
iq,2013,20,6
iq,2013,21,14
iq,2013,22,8
iq,2013,23,8
iq,2013,24,8
iq,2013,25,7
iq,2013,26,6
