,city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,reanalysis_air_temp_c,reanalysis_avg_temp_c,reanalysis_dew_point_temp_c,reanalysis_max_air_temp_c,reanalysis_min_air_temp_c,reanalysis_tdtr_c,bucket_ne,bucket_nw,bucket_sw,bucket_se,station_avg_temp_1_c,station_avg_temp_2_c,station_avg_temp_3_c,station_avg_temp_4_c,station_precip_1_mm,station_precip_2_mm,station_precip_3_mm,station_precip_4_mm,reanalysis_sat_precip_amt_1_mm,reanalysis_sat_precip_amt_2_mm,reanalysis_sat_precip_amt_3_mm,reanalysis_sat_precip_amt_4_mm,d_station_avg_temp_1_c,d_station_avg_temp_2_c,d_station_avg_temp_3_c,d_station_avg_temp_4_c,d_station_precip_1_mm,d_station_precip_2_mm,d_station_precip_3_mm,d_station_precip_4_mm,d_reanalysis_sat_precip_amt_1_mm,d_reanalysis_sat_precip_amt_2_mm,d_reanalysis_sat_precip_amt_3_mm,d_reanalysis_sat_precip_amt_4_mm
18,sj,2008,40,2008-09-30,-0.13735,0.13095,0.2718857,0.2700286,37.5,80.42,54.96,18.428572,28.357143,7.0571427,34.4,22.2,37.1,27.4143,27.621424,23.732843,30.249994,24.249994,-270.09286,0.0,2.0,2.0,2.0,27.4,28.22857,28.385714,29.357143,146.3,20.4,45.1,6.9,153.79,48.44,126.68,60.56,-0.9571438,-0.12857246,0.028570175,1.0,109.2,-16.7,8.0,-30.2,98.829994,-6.5200005,71.72,5.6000023
19,sj,2008,41,2008-10-07,0.1306,0.0897,0.1860857,0.1964429,21.1,76.36143,6.16,17.617144,28.171429,5.9428573,31.7,24.4,8.5,27.56573,27.59286,23.014277,29.85,25.550013,-270.23572,2.0,1.0,2.0,2.0,28.357143,27.4,28.22857,28.385714,37.1,146.3,20.4,45.1,54.96,153.79,48.44,126.68,0.18571472,-0.77142906,0.057142258,0.2142849,28.6,137.8,11.9,36.6,48.8,147.62999,42.28,120.520004
20,sj,2008,42,2008-10-14,0.1834,0.11755,0.1524571,0.1425,40.4,78.65857,60.42,17.658571,27.214285,6.2,32.8,22.8,73.0,27.084284,27.128565,23.050013,30.249994,24.85,-270.02142,2.0,2.0,2.0,2.0,28.171429,28.357143,27.4,28.22857,8.5,37.1,146.3,20.4,6.16,54.96,153.79,48.44,0.9571438,1.1428585,0.18571472,1.014286,-64.5,-35.9,73.3,-52.6,-54.26,-5.459999,93.369995,-11.98
21,sj,2008,43,2008-10-21,0.03325,0.07486667,0.3363143,0.2526571,22.7,79.49286,91.7,17.337143,27.014286,5.3285713,31.7,23.3,16.5,26.584284,26.72857,22.73858,29.450006,24.649988,-270.62143,1.0,1.0,2.0,2.0,27.214285,28.171429,28.357143,27.4,73.0,8.5,37.1,146.3,60.42,6.16,54.96,153.79,0.19999886,1.1571426,1.3428574,0.38571358,56.5,-8.0,20.6,129.8,-31.279999,-85.53999,-36.739998,62.089996
22,sj,2008,44,2008-10-28,0.0834,0.0757,0.07362857,0.1237286,9.9,74.505714,0.0,16.811428,27.642857,5.742857,31.1,23.9,6.4,27.202845,27.40713,22.257135,29.050013,25.249994,-270.57858,1.0,1.0,2.0,1.0,27.014286,27.214285,28.171429,28.357143,16.5,73.0,8.5,37.1,91.7,60.42,6.16,54.96,-0.62857056,-0.4285717,0.5285721,0.7142868,10.1,66.6,2.1,30.7,91.7,60.42,6.16,54.96
23,sj,2008,45,2008-11-04,-0.0944,-0.00495,0.1438,0.1303143,58.03,80.61857,12.23,17.891428,27.614286,5.757143,31.1,24.4,36.6,26.927149,26.992853,23.282862,29.450006,25.050013,-270.55,1.0,1.0,2.0,2.0,27.642857,27.014286,27.214285,28.171429,6.4,16.5,73.0,8.5,0.0,91.7,60.42,6.16,0.028570175,-0.6000004,-0.40000153,0.55714226,-30.2,-20.1,36.4,-28.1,-12.23,79.47,48.19,-6.0699997
24,sj,2008,46,2008-11-11,0.1011,0.074,0.2376,0.1755286,19.6,77.634285,12.64,17.305714,27.385714,5.928571,30.6,23.9,6.4,26.987146,27.142847,22.704279,30.149988,24.749994,-269.85,2.0,1.0,2.0,2.0,27.614286,27.642857,27.014286,27.214285,36.6,6.4,16.5,73.0,12.23,0.0,91.7,60.42,0.22857285,0.25714302,-0.37142754,-0.17142868,30.2,0.0,10.1,66.6,-0.4100008,-12.64,79.06,47.78
25,sj,2008,47,2008-11-18,0.1011,0.044,0.2210429,0.1835286,49.42,78.64,22.49,17.108572,26.814285,5.714286,30.6,23.3,56.9,26.56286,26.607141,22.514277,28.749994,24.85,-270.6357,2.0,1.0,2.0,2.0,27.385714,27.614286,27.642857,27.014286,6.4,36.6,6.4,16.5,12.64,12.23,0.0,91.7,0.5714283,0.80000114,0.8285713,0.20000076,-50.5,-20.3,-50.5,-40.4,-9.849999,-10.26,-22.49,69.21
26,sj,2008,48,2008-11-25,0.03925,0.0731,0.1884,0.2118714,31.83,75.99715,9.3,16.167143,26.485714,5.457143,30.0,22.8,32.8,26.205713,26.292871,21.614283,28.450006,24.649988,-271.00714,1.0,1.0,2.0,2.0,26.814285,27.385714,27.614286,27.642857,56.9,6.4,36.6,6.4,22.49,12.64,12.23,0.0,0.32857132,0.8999996,1.1285725,1.1571426,24.1,-26.4,3.8,-26.4,13.19,3.3400002,2.9299994,-9.3
27,sj,2008,49,2008-12-02,-0.0874,0.1729,0.1455833,0.1098333,0.72,68.94428,3.64,13.985714,25.22857,6.4857144,28.9,21.7,4.1,25.432856,25.564295,19.290003,27.35,23.550013,-270.57858,1.0,2.0,2.0,2.0,26.485714,26.814285,27.385714,27.614286,32.8,56.9,6.4,36.6,9.3,22.49,12.64,12.23,1.257143,1.5857143,2.1571426,2.3857155,28.7,52.8,2.3,32.5,5.66,18.85,9.0,8.589999
28,sj,2008,50,2008-12-09,0.0362,0.06956667,0.2926429,0.2735,9.52,72.79,0.0,14.725715,25.557142,5.6571426,28.9,22.2,11.2,25.402857,25.421442,20.140009,26.85,23.550013,-271.23572,1.0,1.0,2.0,2.0,25.22857,26.485714,26.814285,27.385714,4.1,32.8,56.9,6.4,3.64,9.3,22.49,12.64,-0.32857132,0.9285717,1.257143,1.8285713,-7.1,21.6,45.7,-4.8,3.64,9.3,22.49,12.64
29,sj,2008,51,2008-12-16,0.0306,0.0238,0.2890286,0.2582286,25.75,76.218575,7.75,15.45,26.27143,6.114286,30.6,21.7,37.9,25.425714,25.450006,20.904291,27.050013,24.050013,-271.0643,1.0,1.0,2.0,2.0,25.557142,25.22857,26.485714,26.814285,11.2,4.1,32.8,56.9,0.0,3.64,9.3,22.49,-0.7142868,-1.0428581,0.2142849,0.5428562,-26.7,-33.8,-5.1,19.0,-7.75,-4.1099997,1.5500002,14.74
30,sj,2008,52,2008-12-23,-0.00395,-0.0159,0.1993143,0.16795,17.5,73.77857,0.0,14.285714,25.071428,6.0285716,28.9,20.6,11.7,24.638575,24.764277,19.587152,26.749994,21.749994,-270.55,1.0,1.0,2.0,2.0,26.27143,25.557142,25.22857,26.485714,37.9,11.2,4.1,32.8,7.75,0.0,3.64,9.3,1.2000008,0.48571396,0.15714264,1.4142857,26.2,-0.5,-7.6,21.1,7.75,0.0,3.64,9.3
31,sj,2009,1,2009-01-01,0.5004,0.161425,0.1607857,0.18865,17.5,73.77857,0.0,14.285714,25.071428,6.0285716,28.9,20.6,11.7,24.638575,24.764277,19.587152,26.749994,21.749994,-270.55,3.0,2.0,2.0,2.0,25.071428,26.27143,25.557142,25.22857,11.7,37.9,11.2,4.1,0.0,7.75,0.0,3.64,0.0,1.2000008,0.48571396,0.15714264,0.0,26.2,-0.5,-7.6,0.0,7.75,0.0,3.64
32,sj,2009,2,2009-01-08,-0.0814,0.0081,0.35324,0.2524,3.45,73.954285,0.0,14.285714,25.071428,6.2,28.9,20.6,3.6,24.601435,24.800013,19.597132,27.149988,21.149988,-270.27856,1.0,1.0,2.0,2.0,25.071428,25.071428,26.27143,25.557142,11.7,11.7,37.9,11.2,0.0,0.0,7.75,0.0,0.0,0.0,1.2000008,0.48571396,8.1,8.1,34.3,7.6,0.0,0.0,7.75,0.0
33,sj,2009,3,2009-01-15,0.0764,0.0102,0.1719333,0.1197714,6.5,77.52286,0.0,15.421429,25.928572,6.0285716,29.4,22.2,8.5,25.141443,25.385706,20.902857,26.649988,24.050013,-271.16428,1.0,1.0,2.0,2.0,25.071428,25.071428,25.071428,26.27143,3.6,11.7,11.7,37.9,0.0,0.0,0.0,7.75,-0.8571434,-0.8571434,-0.8571434,0.34285736,-4.9,3.2,3.2,29.4,0.0,0.0,0.0,7.75
34,sj,2009,4,2009-01-22,0.03183333,0.01133333,0.1108286,0.1701429,29.9,80.02,9.09,15.538571,25.9,6.114286,31.1,21.7,18.6,24.771418,24.957148,21.0357,27.050013,23.249994,-270.65,1.0,1.0,2.0,2.0,25.928572,25.071428,25.071428,25.071428,8.5,3.6,11.7,11.7,0.0,0.0,0.0,0.0,0.028572083,-0.8285713,-0.8285713,-0.8285713,-10.1,-15.0,-6.9,-6.9,-9.09,-9.09,-9.09,-9.09
35,sj,2009,5,2009-01-29,0.0626,-0.00625,0.2114667,0.1452333,21.1,81.332855,0.0,15.952857,26.185715,6.5142856,31.1,21.7,22.6,24.892847,25.09286,21.445704,26.649988,23.450006,-270.8643,1.0,1.0,2.0,2.0,25.9,25.928572,25.071428,25.071428,18.6,8.5,3.6,11.7,9.09,0.0,0.0,0.0,-0.2857151,-0.25714302,-1.1142864,-1.1142864,-4.0,-14.1,-19.0,-10.9,9.09,0.0,0.0,0.0
36,sj,2009,6,2009-02-05,0.0162,0.000625,0.1229,0.1317,12.0,77.83,0.0,15.108571,25.571428,5.785714,30.0,21.7,11.7,24.740015,24.928583,20.588587,27.249994,22.450006,-270.3643,1.0,1.0,2.0,2.0,26.185715,25.9,25.928572,25.071428,22.6,18.6,8.5,3.6,0.0,9.09,0.0,0.0,0.6142864,0.32857132,0.3571434,-0.5,10.9,6.9,-3.2,-8.1,0.0,9.09,0.0,0.0
37,sj,2009,7,2009-02-12,0.0558,0.07665,0.2572,0.2180143,32.43,76.95143,0.0,14.607142,25.357143,6.4,30.6,21.7,62.8,24.392847,24.585718,20.040003,26.85,22.550013,-270.82144,1.0,1.0,2.0,2.0,25.571428,26.185715,25.9,25.928572,11.7,22.6,18.6,8.5,0.0,0.0,9.09,0.0,0.2142849,0.8285713,0.5428562,0.5714283,-51.1,-40.2,-44.2,-54.3,0.0,0.0,9.09,0.0
38,sj,2009,8,2009-02-19,0.0374,0.07305,0.1799714,0.1514429,31.2,73.58428,11.01,13.821428,25.028572,5.714286,30.0,21.7,14.6,24.205713,24.34286,19.145716,26.950006,22.749994,-270.79285,1.0,1.0,2.0,2.0,25.357143,25.571428,26.185715,25.9,62.8,11.7,22.6,18.6,0.0,0.0,0.0,9.09,0.32857132,0.5428562,1.1571426,0.87142754,48.2,-2.9,8.0,4.0,-11.01,-11.01,-11.01,-1.9200001
39,sj,2009,9,2009-02-26,0.4708,0.2018,0.3043,0.2088167,5.0,73.25714,5.82,13.978572,25.2,6.257143,30.0,20.6,5.8,24.455713,24.6,19.338587,26.450006,21.85,-270.79285,3.0,2.0,2.0,2.0,25.028572,25.357143,25.571428,26.185715,14.6,62.8,11.7,22.6,11.01,0.0,0.0,0.0,-0.17142868,0.15714264,0.37142754,0.98571396,8.8,57.0,5.9,16.8,5.19,-5.82,-5.82,-5.82
40,sj,2009,10,2009-03-05,0.0714,-0.05,0.2076714,0.1410571,4.08,74.30572,63.28,14.461429,25.72857,6.885714,30.0,21.7,1.0,24.749994,24.985712,19.865717,26.749994,23.149988,-270.45,1.0,1.0,2.0,2.0,25.2,25.028572,25.357143,25.571428,5.8,14.6,62.8,11.7,5.82,11.01,0.0,0.0,-0.5285702,-0.69999886,-0.37142754,-0.15714264,4.8,13.6,61.8,10.7,-57.46,-52.269997,-63.28,-63.28
41,sj,2009,11,2009-03-12,0.0714,-0.0287,0.07662857,0.08174286,33.5,74.917145,31.47,13.668571,25.5,4.8428574,31.1,21.7,21.6,23.654291,23.692865,18.862848,26.450006,22.050013,-271.35,1.0,1.0,1.0,1.0,25.72857,25.2,25.028572,25.357143,1.0,5.8,14.6,62.8,63.28,5.82,11.01,0.0,0.22857094,-0.29999924,-0.47142792,-0.1428566,-20.6,-15.8,-7.0,41.2,31.81,-25.65,-20.46,-31.47
42,sj,2009,12,2009-03-19,0.0025,0.00592,0.2417714,0.1799143,10.06,72.25857,0.0,13.012857,25.0,5.3714285,28.3,21.1,25.5,23.501429,23.642847,18.20144,25.249994,22.050013,-270.9643,1.0,1.0,2.0,2.0,25.5,25.72857,25.2,25.028572,21.6,1.0,5.8,14.6,31.47,63.28,5.82,11.01,0.5,0.72857094,0.20000076,0.028572083,-3.9,-24.5,-19.7,-10.9,31.47,63.28,5.82,11.01
43,sj,2009,13,2009-03-26,-0.1295667,-0.06473333,0.1990714,0.1755429,24.84,74.93,9.09,13.858571,25.27143,6.885714,30.0,21.1,21.9,23.920008,24.050013,19.161432,26.85,21.950006,-269.49286,0.0,1.0,2.0,2.0,25.0,25.5,25.72857,25.2,25.5,21.6,1.0,5.8,0.0,31.47,63.28,5.82,-0.27142906,0.22857094,0.45714188,-0.0714283,3.6,-0.3,-20.9,-16.1,-9.09,22.38,54.19,-3.27
44,sj,2009,14,2009-04-02,0.1003,0.1035,0.1227,0.1065143,9.4,72.46429,3.79,13.117143,25.057142,5.542857,28.9,21.1,3.8,23.542871,23.642847,18.27572,25.749994,20.950006,-270.73572,2.0,2.0,2.0,2.0,25.27143,25.0,25.5,25.72857,21.9,25.5,21.6,1.0,9.09,0.0,31.47,63.28,0.2142868,-0.057142258,0.44285774,0.6714287,18.1,21.7,17.8,-2.8,5.3,-3.79,27.68,59.489998
45,sj,2009,15,2009-04-09,-0.04683333,0.03844,0.1654429,0.1341857,3.74,74.72857,0.0,14.188571,25.72857,6.4142857,30.0,21.7,13.0,24.358576,24.550013,19.551416,26.550013,22.85,-270.23572,1.0,1.0,2.0,2.0,25.057142,25.27143,25.0,25.5,3.8,21.9,25.5,21.6,3.79,9.09,0.0,31.47,-0.6714287,-0.45714188,-0.72857094,-0.22857094,-9.2,8.9,12.5,8.6,3.79,9.09,0.0,31.47
46,sj,2009,16,2009-04-16,-0.04683333,-0.0276,0.1130286,0.1084429,0.5,73.921425,0.0,14.662857,26.571428,7.0,30.6,22.8,0.9,25.098566,25.149988,20.091425,27.050013,22.950006,-269.8643,1.0,1.0,2.0,2.0,25.72857,25.057142,25.27143,25.0,13.0,3.8,21.9,25.5,0.0,3.79,9.09,0.0,-0.84285736,-1.514286,-1.2999992,-1.5714283,12.1,2.9,21.0,24.6,0.0,3.79,9.09,0.0
47,sj,2009,17,2009-04-23,-0.0266,0.0271,0.1302286,0.1296143,4.5,74.192856,14.71,14.98,26.8,7.542857,32.8,22.2,35.0,25.382868,25.59286,20.432856,27.85,22.950006,-269.95,1.0,1.0,2.0,2.0,26.571428,25.72857,25.057142,25.27143,0.9,13.0,3.8,21.9,0.0,0.0,3.79,9.09,-0.22857094,-1.0714283,-1.742857,-1.5285702,-34.1,-22.0,-31.2,-13.1,-14.71,-14.71,-10.92,-5.62
48,sj,2009,18,2009-04-30,0.0558,0.0407,0.1873143,0.1395286,10.9,76.12428,18.69,15.421429,26.72857,6.214286,31.7,22.2,23.6,25.452845,25.6,20.905725,27.649988,23.749994,-270.79285,1.0,1.0,2.0,2.0,26.8,26.571428,25.72857,25.057142,35.0,0.9,13.0,3.8,14.71,0.0,0.0,3.79,0.0714283,-0.15714264,-1.0,-1.6714287,11.4,-22.7,-10.6,-19.8,-3.9800005,-18.69,-18.69,-14.900001
49,sj,2009,19,2009-05-07,0.0584,0.0277,0.048,0.04892857,15.6,76.06,8.25,14.941428,26.257143,5.4142857,30.0,22.2,13.7,24.921442,24.992853,20.388575,26.85,22.450006,-270.49286,1.0,1.0,1.0,1.0,26.72857,26.8,26.571428,25.72857,23.6,35.0,0.9,13.0,18.69,14.71,0.0,0.0,0.47142792,0.5428562,0.31428528,-0.5285721,9.9,21.3,-12.8,-0.7,10.440001,6.46,-8.25,-8.25
50,sj,2009,20,2009-05-14,0.03605,0.05396667,0.1071429,0.1168571,29.93,82.332855,34.87,16.334286,26.585714,4.7,30.6,23.3,23.4,25.068567,25.107141,21.837152,26.950006,23.950006,-271.40714,1.0,1.0,2.0,2.0,26.257143,26.72857,26.8,26.571428,13.7,23.6,35.0,0.9,8.25,18.69,14.71,0.0,-0.32857132,0.1428566,0.2142849,-0.014286041,-9.7,0.2,11.6,-22.5,-26.619999,-16.179998,-20.16,-34.87
51,sj,2009,21,2009-05-21,0.0736,0.04505,0.1062143,0.1195857,65.47,82.25714,28.6,16.095715,26.257143,4.7285714,29.4,22.8,44.2,24.821436,24.85,21.56573,26.35,23.450006,-271.35,1.0,1.0,2.0,2.0,26.585714,26.257143,26.72857,26.8,23.4,13.7,23.6,35.0,34.87,8.25,18.69,14.71,0.32857132,0.0,0.47142792,0.5428562,-20.8,-30.5,-20.6,-9.2,6.2699986,-20.35,-9.91,-13.89
52,sj,2009,22,2009-05-28,0.0736,0.044,0.2181571,0.1863,18.3,84.41428,92.89,17.855715,27.614286,5.714286,31.1,23.9,46.7,26.115717,26.171442,23.255701,28.050013,24.249994,-270.65,1.0,1.0,2.0,2.0,26.257143,26.585714,26.257143,26.72857,44.2,23.4,13.7,23.6,28.6,34.87,8.25,18.69,-1.3571434,-1.0285721,-1.3571434,-0.8857155,-2.5,-23.3,-33.0,-23.1,-64.29,-58.02,-84.64,-74.2
